Site,provide_metadata,provide_descriptive_metadata,provide_data_license_information,provide_data_provenance_information,provide_data_quality_information,provide_a_version_indicator,provide_version_history,gather_feedback_from_data_consumers,make_feedback_available,provide_bulk_download,provide_data_up_to_date,use_persistent_URIs_as_identifiers_of_datasets,use_machine_readable_standardized_data_formats,provide_data_in_multiple_formats,assess_dataset_coverage,provide_feedback_to_the_original_publisher,cite_the_original_publication
https://ead.ifpr.edu.br/?page_id=596,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=598,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=601,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=6143,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=6153,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=7935,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=7956,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=7964,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=7967,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=7977,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=7983,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=8605,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=8774,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=8944,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=9162,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://emec.mec.gov.br/emec/consulta-cadastro/detalhamento/d96957f455f6405d14c6542552b0f6eb/MTQ3MjQ=,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://falabr.cgu.gov.br/publico/Manifestacao/RegistrarManifestacao.aspx?tipo=1&orgaoDestinatario=26,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0
https://falabr.cgu.gov.br/publico/Manifestacao/RegistrarManifestacao.aspx?tipo=3&orgaoDestinatario=26,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0
https://falabr.cgu.gov.br/publico/Manifestacao/RegistrarManifestacao.aspx?tipo=4&orgaoDestinatario=26,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0
https://falabr.cgu.gov.br/publico/Manifestacao/RegistrarManifestacao.aspx?tipo=5&orgaoDestinatario=26,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0
https://foz.ifpr.edu.br/,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://foz.ifpr.edu.br/pos-graduacao-lato-sensu-em-internet-das-coisas-iot-do-ifpr/,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://goioere.ifpr.edu.br/,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://gov.br/sobre,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0
https://info.ifpr.edu.br,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://info.ifpr.edu.br/,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://info.ifpr.edu.br/boletim-interno/,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://info.ifpr.edu.br/demonstracoes-contabeis/2016-2/,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://info.ifpr.edu.br/informacoes-institucionais/pdi-plano-de-desenvolvimento-institucional/,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
https://info.ifpr.edu.br/mapeamento-de-processos/,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1
https://irati.ifpr.edu.br/,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0
https://ivaipora.ifpr.edu.br/,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://jacarezinho.ifpr.edu.br/,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://jacarezinho.ifpr.edu.br/cursos/cursos-subsequentes/menu-institucional-cursos__trashed-cursos-subsequentes-em-arte-dramatica/,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://jacarezinho.ifpr.edu.br/educacao-sociedade-e-tecnologia/,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://jaguariaiva.ifpr.edu.br/,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://jaguariaiva.ifpr.edu.br/pos-graduacao/curso-de-pos-graduacao/,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://jaguariaiva.ifpr.edu.br/superiores/,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://londrina.ifpr.edu.br/,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://londrina.ifpr.edu.br/especializacao-lato-sensu-em-saude-coletiva-com-enfase-na-promocao-da-saude/,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://londrina.ifpr.edu.br/praticas-interdisciplinares-no-ensino-de-ciencias/,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://palmas.ifpr.edu.br/,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0
https://palmas.ifpr.edu.br/about/nossos-cursos/pos-graduacao/controladoria-e-gestao-empresarial/,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://palmas.ifpr.edu.br/about/nossos-cursos/pos-graduacao/linguagens-hibridas-e-educacao/,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://paranagua.ifpr.edu.br/,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0
https://paranagua.ifpr.edu.br/especializacao/pos-graduacao-em-meio-ambiente/,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://paranagua.ifpr.edu.br/mestrado/mestrado-em-ciencia-tecnologia-e-sociedade-ppgcts-ifpr/,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://paranavai.ifpr.edu.br/,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0
https://paranavai.ifpr.edu.br/cursos-de-pos-graduacao/gestao-da-qualidade-e-tecnologia-de-alimentos/,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0
https://paranavai.ifpr.edu.br/ensino-superior/engenharia-de-software-bacharelado/,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://paranavai.ifpr.edu.br/pos/meio-ambiente/,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://paranavai.ifpr.edu.br/pos/praticas/,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://paranavai.ifpr.edu.br/pos/web/,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://periodicos.ifpr.edu.br/index.php?journal=index&page=index,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0
https://pinhais.ifpr.edu.br/,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://pinhais.ifpr.edu.br/pos-graduacao/estudos-da-linguagem/,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
https://pinhais.ifpr.edu.br/pos-graduacao/web-mobile/,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0
https://pitanga.ifpr.edu.br/,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://pitanga.ifpr.edu.br/nossos-cursos/pos-graduacao/pos-graduacao-latu-senso-em-interdisciplinaridade-e-docencia-na-educacao-basica/,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0
https://play.google.com/store/apps/details?id=br.gov.datasus.cnsdigital,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
https://play.google.com/store/apps/details?id=br.gov.meugovbr&hl=pt_BR,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
https://play.google.com/store/apps/details?id=br.gov.serpro.cnhe,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
https://pontagrossa.ifpr.edu.br/,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
https://quedasdoiguacu.ifpr.edu.br/,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://quedasdoiguacu.ifpr.edu.br/?page_id=4696,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://reitoria.ifpr.edu.br,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/2022/12/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/3-participacao-social/conselho-de-usuarios/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/3-participacao-social/conselhos-e-orgaos-colegiados/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/3-participacao-social/consulta-interna/,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/3-participacao-social/consultas-publicas/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/acoes-e-programas/acoes/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/acoes-e-programas/carta-de-servicos/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/acoes-e-programas/fundo-de-amparo-ao-trabalhador/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/acoes-e-programas/planos/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/acoes-e-programas/programas/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/acoes-e-programas/renuncia-de-receitas/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/auditorias/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/convenios/convenios/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/convenios/fundacoes-de-apoio/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/dados-abertos/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/dados-abertos/bases-de-dados-abertos/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/dados-abertos/plano-de-dados-abertos/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/despesas/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/informacoes-classificadas/,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/institucional/agenda-dos-gestores/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/institucional/base-juridica-da-estrutura-organizacional/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/institucional/competencias/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/institucional/horarios-de-atendimento/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/institucional/organograma/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/institucional/quem-e-quem/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/lei-de-acesso-a-informacao/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/lei-geral-de-protecao-de-dados/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/licitacoes-e-contratos/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/perguntas-frequentes/,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/servico-de-informacao-ao-cidadao/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/servidores/concursos-publicos/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/servidores/servidores-em-exercicio/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/acesso-a-informacao/servidores/servidores-terceirizados/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
